rank   rating    name
  481  0.114255  kanyewest1738
  482  0.113953  Deutscheryolo
  483  0.113440  Hurnus
  484  0.113021  nillawaf3rs70710
  485  0.112921  cobo8767
  486  0.112691  Der_Toto
  487  0.112401  Crazy_Cherry_Jam
  488  0.111879  eweamy
  489  0.111817  Voikiddo
  490  0.111782  ELiiSE_
  491  0.111212  sk1te
  492  0.110880  Nyarlaaa
  493  0.110406  lucasbeer
  494  0.110184  paxan
  495  0.110155  ziberty
  496  0.110144  DoubleAught
  497  0.109728  __rotary
  498  0.109706  Oscararaca26
  499  0.109631  ZaEnderAzul
  500  0.109439  Boliche101
  501  0.109314  31R0
  502  0.109293  KraziKommando
  503  0.109208  VrodisYT
  504  0.109008  KingCapacity
  505  0.108815  kottosiarq
  506  0.108552  dukeoflag
  507  0.108276  demonddpc
  508  0.108256  WorldAlex6407
  509  0.108084  Sijo17_
  510  0.107804  Frosted_Flakes62
  511  0.107717  rreisu
  512  0.107508  mmerpp
  513  0.107466  Scriixer
  514  0.107394  Gaake_
  515  0.107293  Caasi42
  516  0.107097  i_like_meatloaf
  517  0.107018  PoulainModele
  518  0.106991  CrimznRED
  519  0.106766  FplaysYT
  520  0.106424  Graydog1122
  521  0.106360  pixel08_
  522  0.105682  YoungBrosh
  523  0.105390  rin_stone
  524  0.105372  DragonNivek
  525  0.105328  Benjilopitropix
  526  0.105053  Beluga_0777
  527  0.105031  itaybanana
  528  0.104816  dollar101255
  529  0.104657  stink_mink
  530  0.104589  Kribuo
  531  0.104400  gum0305
  532  0.104311  canabutter
  533  0.104286  Laolack
  534  0.104219  GloomyTheGoose
  535  0.103821  IceyMaster
  536  0.103535  Alijic2000
  537  0.103519  tonesfr
  538  0.103493  Creeper220
  539  0.103237  Saturnyc
  540  0.102939  Rin_Hojo
  541  0.102618  trylapaak
  542  0.101984  Sloimay
  543  0.101571  Tendsc_31
  544  0.101555  YanMizuki
  545  0.101412  Sihor
  546  0.101380  Celux
  547  0.101326  Dudley123BB
  548  0.101298  IQ2O
  549  0.101159  slitno
  550  0.100918  Gretty__
  551  0.100719  Blue136
  552  0.100349  francisfugle
  553  0.099953  RIKI_SSRB
  554  0.099820  Super_Dot
  555  0.099788  furai26425
  556  0.099707  efilymetahi_
  557  0.099617  popperbeam
  558  0.099605  _CammyB
  559  0.099533  JustThatGuy4664
  560  0.099057  mysticat_
  561  0.098819  GamerAdvay
  562  0.098681  ShushManWill
  563  0.098668  Kacpusek_
  564  0.098554  DU8L1N
  565  0.098075  ILOVETECCA
  566  0.097992  Twilyy
  567  0.097988  gapedFN
  568  0.097577  FuzzyT
  569  0.097499  D_Sang_Yee
  570  0.097437  BoatHUD
  571  0.096471  xAsashi
  572  0.096285  Noodlarz
  573  0.096076  Aurelianus
  574  0.095980  tari_cat
  575  0.095562  cally72jhb
  576  0.095396  Petterzinho
  577  0.095184  Tircis
  578  0.095142  _Luisito
  579  0.095094  LittleCrazy85
  580  0.094896  firescale
  581  0.094345  MisterGamerDre
  582  0.094179  Origin_T
  583  0.093807  Ertys
  584  0.093741  Josax
  585  0.093564  AquaTheGamer
  586  0.093498  Discineration
  587  0.093484  korobtwww
  588  0.093341  Finnle24
  589  0.092818  MrMusya
  590  0.092644  Boogerboii
  591  0.092548  MarinTitan
  592  0.092266  robocat6958
  593  0.092261  J4yd3nn_
  594  0.092186  Morderin
  595  0.092105  BrainlessPotato
  596  0.091890  BoatCam
  597  0.091802  meowrio_32
  598  0.091345  Jhozan
  599  0.091292  quan_shui_233
  600  0.091215  Satscraft_MC
  601  0.091202  Nouzes
  602  0.090837  MelonStress
  603  0.090592  Xtikman
  604  0.090458  wngus12349752
  605  0.089706  itsBeaker
  606  0.089602  Waltaisa
  607  0.089522  Belefa
  608  0.089488  ZaddyD69
  609  0.089382  Renokas2
  610  0.089114  beanfamily41
  611  0.088559  AysNik
  612  0.088515  Technodon14
  613  0.088375  lrze
  614  0.087873  SHADOWlegend376
  615  0.087736  80as
  616  0.087402  Klariaon
  617  0.087191  worthyvr
  618  0.087035  pumpkin_seeds
  619  0.086939  Rubensi
  620  0.086938  mistergreenjeans
  621  0.086892  Eyxiler
  622  0.086889  GarbatyKciuk
  623  0.086733  Gajj
  624  0.086648  WishMr_EpicGamer
  625  0.086506  denilpvp
  626  0.086419  Bistoc
  627  0.086398  PotatoCraftFR
  628  0.086204  flawings
  629  0.086183  Rik4046
  630  0.086108  JDiamond972
  631  0.086100  Le_0J
  632  0.085941  Exclamation_
  633  0.085867  sugOwOtr45h
  634  0.085725  zoixer
  635  0.085722  Lonely_Zgnc
  636  0.085717  erimas
  637  0.085621  Falconu
  638  0.085359  RoryBot
  639  0.085261  ECUBEBOI
  640  0.085173  albgio5973
  641  0.084653  Reckmund
  642  0.084576  _inp
  643  0.084397  Fuby
  644  0.084312  youwin_sean
  645  0.084266  Miesneus
  646  0.083901  Prostyq
  647  0.083765  iMicro
  648  0.083695  Vogelino
  649  0.083622  SpookyFanBoy1
  650  0.083581  LicanWolfYT
  651  0.083513  SonOfExcis3
  652  0.083483  Ceazzy
  653  0.083458  GTrunn
  654  0.083388  4quiles
  655  0.082987  AngelicaxDaniel
  656  0.082945  Dragonsg64
  657  0.082771  KillTheCube
  658  0.082721  R04k
  659  0.082530  fabinosen
  660  0.082484  CursdMC
  661  0.082300  Lugo_Sieben
  662  0.082296  lukasinoCZ13
  663  0.082290  ImToxiiq
  664  0.082254  Microc
  665  0.082194  batlal
  666  0.082008  Biybobo
  667  0.082008  CookieMnstr1616
  668  0.081954  Kathathum
  669  0.081669  Lxk10
  670  0.081445  freakyAxo
  671  0.081433  Rhettz
  672  0.081274  ItsJustZet_
  673  0.081045  laser_uhhhh
  674  0.080979  kiele0112
  675  0.080735  slizzidick
  676  0.080405  MoleyG
  677  0.080187  MarvWinner
  678  0.079834  Sparky_Smith2209
  679  0.079532  prof_landmine
  680  0.079505  RamAJ_
  681  0.079461  CriteaTV
  682  0.079460  CardyCraft_
  683  0.079284  RandomGamer789
  684  0.079182  Heyjay318
  685  0.079112  oudw
  686  0.079042  3lgin
  687  0.078614  ShaoNoSound
  688  0.078271  Pose1dan
  689  0.078258  XBTGC_2023
  690  0.078234  hectallium
  691  0.078196  azaca
  692  0.078148  zLazuli
  693  0.077794  BannanaMan78
  694  0.077727  Chicco198
  695  0.077524  AC_HairyToes
  696  0.077375  JBloon02
  697  0.077350  Lulisimo
  698  0.077347  firman4192
  699  0.077292  juliencoolsmom
  700  0.077135  Meowlowww
  701  0.077016  lumina_svn
  702  0.076537  Duckie_3
  703  0.076493  MarcusDoesMC
  704  0.076485  Feinberg
  705  0.076451  bigdrita
  706  0.076356  sabe_
  707  0.076353  ViolentCM
  708  0.076293  Xander_477
  709  0.076206  chronicallysilly
  710  0.076078  Whalery
  711  0.076030  lazermaster_58
  712  0.075889  Zoruzero
  713  0.075829  mifu555
  714  0.075526  BondieBoy
  715  0.075507  Dxnt_
  716  0.075175  tapnap
  717  0.075099  mikser31
  718  0.074814  DarkVIIIX
  719  0.074791  Mofiks
  720  0.074689  ItzYona
  721  0.074467  Anthonythos
  722  0.074353  Pasi
  723  0.074303  LegitHDog420
  724  0.074228  Fabulous_Dingo
  725  0.074110  lapislaszuli
  726  0.074092  _McMagma_
  727  0.073958  Ti666iT
  728  0.073731  soder_
  729  0.073520  boneskebabfishy
  730  0.073438  N3wer420
  731  0.073201  Gryphon_49
  732  0.072954  AresTargaryen
  733  0.072787  _Deric
  734  0.072492  5GBurrito
  735  0.072312  Tomycero74
  736  0.072300  TohaEbarb
  737  0.072240  APW8
  738  0.071983  Aquaface
  739  0.071901  Sneaky_Scavenger
  740  0.071768  TheAlphaGamer787
  741  0.071597  _mura_
  742  0.071590  ProMeowCat
  743  0.071513  Jakeispizza_125
  744  0.071403  Nagatow_
  745  0.071402  Emerald_Ruler
  746  0.071380  loyona
  747  0.071295  xXallah_primeXx
  748  0.071268  GamerGoBC
  749  0.071245  wenzn
  750  0.071219  mat1k
  751  0.071108  The__Error
  752  0.071100  ItzShiba
  753  0.071097  BKD_Ziti
  754  0.071076  N00B_Z
  755  0.071027  iilwy
  756  0.070867  V4lentement
  757  0.070759  xdgamer99999999
  758  0.070734  backpackzack420
  759  0.070684  Shiftyz_
  760  0.070101  BurntGem
  761  0.069983  Ragnor_R
  762  0.069868  Phil787b
  763  0.069637  RosieBBlue
  764  0.069553  Tactically_
  765  0.069473  Arqu1n
  766  0.069450  nxte_mc
  767  0.069375  Nost_Algia
  768  0.069079  Simpgame
  769  0.068794  JohnDubuc
  770  0.068760  SteinyFemboy
  771  0.068697  NickelTooGood
  772  0.068644  Das_cas
  773  0.068509  LTelos
  774  0.068454  Caywac
  775  0.068433  Mr_Puggles327
  776  0.068298  zeligre_
  777  0.068298  okno_zycia
  778  0.068258  rroca
  779  0.067678  AuraNesian
  780  0.067664  _ZHH_
  781  0.067586  Rainythefirst
  782  0.067477  flippingsexy
  783  0.067442  SharpCat
  784  0.067338  992GT3
  785  0.067308  xiru222
  786  0.067095  azuuza03
  787  0.067053  Evolver54
  788  0.066983  juanmamerli
  789  0.066917  Wolfyy___
  790  0.066905  Infern0Ph0enix
  791  0.066732  IceZun
  792  0.066704  HyruleField64
  793  0.066563  Wabubba
  794  0.066504  kalliewho
  795  0.066415  UFool15
  796  0.066384  IamaVideoGamer
  797  0.066348  SaishoVibes
  798  0.066318  plasma2403
  799  0.066221  Shiger_Tark
  800  0.066192  INDB
  801  0.066168  Chief_Jacq
  802  0.066106  Fedrer
  803  0.065948  AriVash
  804  0.065916  LarDDDD
  805  0.065903  nate8988
  806  0.065886  reisgbrl
  807  0.065880  Prince_Joker
  808  0.065855  Faxienix
  809  0.065819  Ballingcat_43
  810  0.065754  Nauriiii
  811  0.065645  BamesJ0nd
  812  0.065585  Grekgamer13
  813  0.065557  AavinRab
  814  0.065457  Lolcraft0475
  815  0.065426  Bxyy
  816  0.065372  DragonYoutuBear
  817  0.065342  Ycness
  818  0.065169  Cookiepierce
  819  0.064941  Tonyrock09
  820  0.064880  ItsPiff
  821  0.064878  Doom6197
  822  0.064852  Killerwarriorboy
  823  0.064840  Enderboy985
  824  0.064741  LLordyy
