rank   rating    name
  793  0.075109  s3boxx
  794  0.075070  Sugm4Nuts
  795  0.075059  Shadow_Snniper
  796  0.074966  Dragon24k
  797  0.074948  eLeclerc
  798  0.074920  ChuckkNasty
  799  0.074879  rxstlxsss
  800  0.074786  Flsw
  801  0.074614  normanj400
  802  0.074554  sinuet
  803  0.074444  Pegr
  804  0.074404  chlenix669
  805  0.074306  Razploon
  806  0.074300  Holy_tapoK
  807  0.074277  ProDanBoi
  808  0.074215  dbpblocks
  809  0.074201  ItsKball
  810  0.074070  _Risotto
  811  0.074050  Sulfu_
  812  0.073934  Loppyloppster
  813  0.073903  luucien
  814  0.073880  ElPablom
  815  0.073823  ImPesto47
  816  0.073606  ljp2900
  817  0.073583  FreezingMilk21
  818  0.073484  deathboss18
  819  0.073395  Kevin_Magnussen_
  820  0.073389  Lpanda48
  821  0.073365  MulberrySquid82
  822  0.073351  Loufok
  823  0.073103  zLazuli
  824  0.073100  Falconu
  825  0.073006  Oravecz
  826  0.073004  mugwortlover
  827  0.072808  1bmm
  828  0.072665  lafless
  829  0.072591  Cardinals5stl
  830  0.072486  Nastouuu
  831  0.072396  Gehort
  832  0.072394  EnterNameHamish
  833  0.072341  _SmartSilver_
  834  0.072314  ChiefTimbits
  835  0.072112  Promaja_Fighter
  836  0.072089  Beaveron
  837  0.071926  opLys_
  838  0.071882  Kabob2546
  839  0.071846  ImCloudyy
  840  0.071843  SenSenko
  841  0.071818  oNudli
  842  0.071747  Meygo
  843  0.071722  K0WTA
  844  0.071708  Jaffa2014
  845  0.071704  Wolfi80
  846  0.071664  BoOoHUN
  847  0.071657  Goldbenn
  848  0.071640  lep9572
  849  0.071576  Marsonic
  850  0.071507  DoTheDirtyBird
  851  0.071475  Noelveon
  852  0.071359  prodkamen
  853  0.071271  rdaug
  854  0.071266  Lethage
  855  0.071262  g4laxey
  856  0.071219  Jakery_
  857  0.071180  RCButJava
  858  0.071097  BunnyBoing
  859  0.071072  Abdulmuqtadir
  860  0.071026  SeniorPetu
  861  0.070983  Tellanut3600
  862  0.070943  8_Mlody
  863  0.070934  BearMo
  864  0.070930  Piggybxck
  865  0.070916  Pomarancz_
  866  0.070913  byKrono
  867  0.070792  IDrxpU
  868  0.070788  Mirkec3
  869  0.070769  JRektaaja
  870  0.070741  KyoDeath_
  871  0.070715  SlashAcorn
  872  0.070606  skt_phantom
  873  0.070590  Pixellluca
  874  0.070542  froginthefog
  875  0.070539  zakban
  876  0.070520  TlM3333
  877  0.070392  Attometer
  878  0.070319  Power_Blackflame
  879  0.070244  KingJowa
  880  0.070145  SiloX21
  881  0.069938  StuffIsBored
  882  0.069921  lenlounp
  883  0.069758  Kaiz1337
  884  0.069727  Pyukin
  885  0.069727  oltsufishh
  886  0.069663  Itiraton
  887  0.069638  Noctys_Ira
  888  0.069588  EngineCoolant
  889  0.069549  inviteoj
  890  0.069526  Onirique96
  891  0.069408  Phelps_Builds
  892  0.069291  Queueue_
  893  0.069236  ratfilled
  894  0.069121  NotAreo
  895  0.069117  stigmatica
  896  0.069106  fabinosen
  897  0.068986  ItsEino
  898  0.068958  Radkowski
  899  0.068938  TravelTrish
  900  0.068866  Nutragenous
  901  0.068724  Dar1ro
  902  0.068561  Teddyishappyl
  903  0.068476  StrawberryScot
  904  0.068332  wenzn
  905  0.068228  __01
  906  0.068165  gogtcc
  907  0.068067  Majestic_A
  908  0.067976  G0Idarcher
  909  0.067880  fussballninja
  910  0.067874  __pxwer
  911  0.067811  ZombieGod13
  912  0.067629  ApateticPizza57
  913  0.067491  Leyfin_
  914  0.067447  Cheese_Fries34
  915  0.067351  kumianka98
  916  0.067239  KartKid8
  917  0.067203  OiYtHeOne
  918  0.066963  MomentoMoru
  919  0.066840  LinaTheSk8er
  920  0.066598  eth023
  921  0.066497  Duckx_x
  922  0.066417  Hedgwig
  923  0.066290  tempest3820
  924  0.066210  Laser_HDyt
  925  0.066024  theTrapDoor
  926  0.066016  Txnc
  927  0.065922  Semicolon_
  928  0.065777  FibrOptique_
  929  0.065712  WhiteBoy1273
  930  0.065570  Soouples
